block,street_name,Address,Postal,Latitude,Longitude,mrt_count_500m,schools_within_2km,top25_schools_within_2km,nearby_top25_schools,distance_to_cbd
330A,ANCHORVALE ST,330A ANCHORVALE STREET ANCHORVALE HARVEST SINGAPORE 541330,541330,1.39662723563942,103.889865427006,2,15,1,Nan Chiau Primary School,13218.172569593205
890B,TAMPINES AVE 1,890B TAMPINES AVENUE 1 TAMPINES GREENTERRACE SINGAPORE 522890,522890,1.34690555756363,103.933409216927,0,11,2,"Red Swastika School, St. Hilda's Primary School",11477.295682892396
342A,YISHUN RING RD,342A YISHUN RING ROAD YISHUN NATURA SINGAPORE 761342,761342,1.43059711114855,103.84446482342,0,9,1,Chongfu School,16305.425607753217
505B,YISHUN ST 51,505B YISHUN STREET 51 ACACIA BREEZE @ YISHUN SINGAPORE 762505,762505,1.41924161070524,103.844941652639,0,7,0,,15041.662090152437
504D,YISHUN ST 51,504D YISHUN STREET 51 ACACIA BREEZE @ YISHUN SINGAPORE 764504,764504,1.41833362541375,103.843721655882,0,7,0,,14948.004947939611
505D,YISHUN ST 51,505D YISHUN STREET 51 ACACIA BREEZE @ YISHUN SINGAPORE 764505,764505,1.41883284175427,103.844225827265,0,7,0,,15000.315806336768
650,ANG MO KIO ST 61,650 ANG MO KIO STREET 61 YIO CHU KANG VISTA SINGAPORE 560650,560650,1.37769118043958,103.84274515222,0,8,2,"CHIJ St. Nicholas Girls' School, Holy Innocents' Primary School",10448.995361225794
634B,SENJA RD,634B SENJA ROAD SENJA GATEWAY SINGAPORE 672634,672634,1.38611988630201,103.758328624429,0,11,0,,15355.795113428137
488A,CHOA CHU KANG AVE 5,488A CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 681488,681488,1.37705950007098,103.738981398036,0,6,0,,16221.007282120088
476A,UPP SERANGOON VIEW,476A UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 531476,531476,1.37676038157719,103.904050364711,0,8,0,,11844.086650913303
477A,UPP SERANGOON VIEW,477A UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 531477,531477,1.37830875820742,103.903841957906,0,10,0,,11982.844468265523
475D,UPP SERANGOON CRES,475D UPPER SERANGOON CRESCENT PARKLAND RESIDENCES SINGAPORE 537475,537475,1.37518254401411,103.900405982824,0,8,0,,11494.596508220186
138C,YUAN CHING RD,138C YUAN CHING ROAD LAKE VISTA @ YUAN CHING SINGAPORE 613138,613138,1.32843797727643,103.723795893377,0,2,0,,15022.64628791651
138B,YUAN CHING RD,138B YUAN CHING ROAD LAKE VISTA @ YUAN CHING SINGAPORE 612138,612138,1.32841510984309,103.724304147765,0,2,0,,14968.446008662313
524C,PASIR RIS ST 51,524C PASIR RIS STREET 51 COSTA RIS SINGAPORE 513524,513524,1.37054529360258,103.947594575271,1,11,0,,14372.044443055875
673C,EDGEFIELD PLAINS,673C EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 823673,823673,1.40722159434779,103.910591907295,1,10,0,,15184.360318736366
261B,PUNGGOL WAY,261B PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 822261,822261,1.40601534722271,103.896508270967,2,11,1,Nan Chiau Primary School,14449.175392682106
666B,PUNGGOL DR,666B PUNGGOL DRIVE WATERWAY WOODCRESS SINGAPORE 822666,822666,1.40179672508929,103.915278092564,2,9,0,,14884.078997337348
416B,FERNVALE LINK,416B FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 792416,792416,1.39048519034443,103.880509545623,2,10,1,Nan Chiau Primary School,12259.682628178405
414A,FERNVALE LINK,414A FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 791414,791414,1.38958310807082,103.87947708432,2,11,2,"Nan Chiau Primary School, Rosyth School",12132.976749764854
494E,TAMPINES ST 43,494E TAMPINES STREET 43 TAMPINES ALCOVES SINGAPORE 525494,525494,1.36421531545345,103.953511202271,0,13,0,,14422.722057273366
180A,MARSILING RD,180A MARSILING ROAD MARSILING HEIGHTS SINGAPORE 731180,731180,1.43904320861563,103.778109726656,0,8,0,,19058.263203213017
505A,YISHUN ST 51,505A YISHUN STREET 51 ACACIA BREEZE @ YISHUN SINGAPORE 761505,761505,1.41884459566005,103.84482453185,0,7,0,,14998.201802909667
748B,BEDOK RESERVOIR CRES,748B BEDOK RESERVOIR CRESCENT BELVIA SINGAPORE 472748,472748,1.33629391354583,103.921242294579,1,8,1,Red Swastika School,9686.695929954685
747C,BEDOK RESERVOIR CRES,747C BEDOK RESERVOIR CRESCENT BELVIA SINGAPORE 473747,473747,1.33679206446803,103.921982613627,0,7,1,Red Swastika School,9785.777402814361
311B,CLEMENTI AVE 4,311B CLEMENTI AVENUE 4 TRIVELIS SINGAPORE 122311,122311,1.31944669077178,103.765649446368,0,5,1,Nan Hua Primary School,10315.838534089286
311C,CLEMENTI AVE 4,311C CLEMENTI AVENUE 4 NOBLELAND ARTS N LEARNING PLACE @CLEMENTI PTE. LTD. SINGAPORE 123311,123311,1.32010579446331,103.765573473984,0,5,1,Nan Hua Primary School,10351.751307522587
311A,CLEMENTI AVE 4,311A CLEMENTI AVENUE 4 TRIVELIS SINGAPORE 121311,121311,1.31911656776897,103.765492195959,1,4,1,Nan Hua Primary School,10318.107634440694
475A,UPP SERANGOON CRES,475A UPPER SERANGOON CRESCENT PARKLAND RESIDENCES SINGAPORE 531475,531475,1.37629840280721,103.900220786851,0,9,0,,11594.399543874117
477B,UPP SERANGOON VIEW,477B UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 532477,532477,1.37881205219672,103.904229621366,0,10,0,,12052.702365686915
527D,PASIR RIS ST 51,527D PASIR RIS STREET 51 COSTA RIS SINGAPORE 514527,514527,1.36968625501963,103.947922425135,1,11,0,,14335.597251179965
672C,EDGEFIELD PLAINS,672C EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 823672,823672,1.40743702403924,103.911196464451,1,9,0,,15235.131095074243
673B,EDGEFIELD PLAINS,673B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822673,822673,1.40697762946912,103.911041462626,1,10,0,,15181.648109459513
672A,EDGEFIELD PLAINS,672A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821672,821672,1.40641415134174,103.912620387754,2,9,0,,15202.977376450372
666A,PUNGGOL DR,666A PUNGGOL DRIVE WATERWAY WOODCRESS SINGAPORE 821666,821666,1.40153631153053,103.915077974858,2,9,0,,14848.021101673443
258B,PUNGGOL FIELD,258B PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 822258,822258,1.40368230786817,103.896461412296,1,14,1,Nan Chiau Primary School,14204.283866369253
260C,PUNGGOL WAY,260C PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 823260,823260,1.40524575016039,103.896410927147,2,12,1,Nan Chiau Primary School,14365.167550103903
260B,PUNGGOL WAY,260B PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 822260,822260,1.40488489257322,103.896351333072,2,12,1,Nan Chiau Primary School,14325.245848104858
414B,FERNVALE LINK,414B FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 792414,792414,1.39001961783905,103.879574314696,2,10,1,Nan Chiau Primary School,12182.662586878896
416C,FERNVALE LINK,416C FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 793416,793416,1.38979947929697,103.88064410102,1,12,1,Nan Chiau Primary School,12190.117609166467
